PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Gender,embarked,cabin_count,first_cabin_number,cabin_letters_encoded,ticket_numbers,ticket_letters_length,ticket_punctuation_length,title_encoded,surname_length,forenames_length,ticket_numbers_enc
1,0,3,22.0,1,0,7.25,1,3,1,-1.0,8,21171.0,1,1,3,6,12,0.37587750916716905
2,1,1,38.0,1,0,71.2833,0,0,1,85.0,2,17599.0,2,0,4,7,38,0.36930577340629606
3,1,3,26.0,0,0,7.925,0,3,1,-1.0,8,3101282.0,5,2,2,9,6,0.36930577340629606
4,1,1,35.0,1,0,53.1,0,3,1,123.0,2,113803.0,0,0,4,8,30,0.37587750916716905
5,0,3,35.0,0,0,8.05,1,3,1,-1.0,8,373450.0,0,0,3,5,14,0.37383777391428363
6,0,3,32.368090452261306,0,0,8.4583,1,2,1,-1.0,8,330877.0,0,0,3,5,6,0.36721663062041743
7,0,1,54.0,0,0,51.8625,1,3,1,46.0,4,17463.0,0,0,3,8,10,0.36930577340629606
8,0,3,2.0,3,1,21.075,1,3,1,-1.0,8,349909.0,0,0,1,7,14,0.2644628047079984
9,1,3,27.0,0,2,11.1333,0,3,1,-1.0,8,347742.0,0,0,4,7,36,0.5838040936544717
10,1,2,14.0,1,0,30.0708,0,0,1,-1.0,8,237736.0,0,0,4,6,23,0.309320806634981
11,1,3,4.0,1,1,16.7,0,3,1,6.0,6,9549.0,2,0,2,9,15,0.49683929375546076
12,1,1,58.0,0,0,26.55,0,3,1,103.0,2,113783.0,0,0,2,7,10,0.36721663062041743
13,0,3,20.0,0,0,8.05,1,3,1,-1.0,8,2151.0,1,2,3,11,14,0.36930577340629606
14,0,3,39.0,1,5,31.275,1,3,1,-1.0,8,347082.0,0,0,3,9,13,0.1738009032746982
15,0,3,14.0,0,0,7.8542,0,3,1,-1.0,8,350406.0,0,0,2,7,22,0.37383777391428363
16,1,2,55.0,0,0,16.0,0,3,1,-1.0,8,248706.0,0,0,4,7,19,0.36721663062041743
17,0,3,2.0,4,1,29.125,1,2,1,-1.0,8,382652.0,0,0,1,4,7,0.20780201948835308
18,1,2,32.368090452261306,0,0,13.0,1,3,1,-1.0,8,244373.0,0,0,3,8,15,0.37383777391428363
19,0,3,31.0,1,0,18.0,0,3,1,-1.0,8,345763.0,0,0,4,13,36,0.37383777391428363
20,1,3,35.898148148148145,0,0,7.225,0,0,1,-1.0,8,2649.0,0,0,4,10,7,0.36930577340629606
21,0,2,35.0,0,0,26.0,1,3,1,-1.0,8,239865.0,0,0,3,6,9,0.30054283719503305
22,1,2,34.0,0,0,13.0,1,3,1,56.0,3,248698.0,0,0,3,7,9,0.3789559599553131
23,1,3,15.0,0,0,8.0292,0,2,1,-1.0,8,330923.0,0,0,2,7,13,0.37587750916716905
24,1,1,28.0,0,0,35.5,1,3,1,6.0,0,113788.0,0,0,3,6,17,0.37587750916716905
25,0,3,8.0,3,1,21.075,0,3,1,-1.0,8,349909.0,0,0,2,7,15,0.26262979990080443
26,1,3,38.0,1,5,31.3875,0,3,1,-1.0,8,347077.0,0,0,4,7,44,0.40996556532570155
27,0,3,32.368090452261306,0,0,7.225,1,0,1,-1.0,8,2631.0,0,0,3,4,14,0.37383777391428363
28,0,1,19.0,3,2,263.0,1,3,3,23.0,2,19950.0,0,0,3,7,18,0.40996556532570155
29,1,3,21.773972602739725,0,0,7.8792,0,2,1,-1.0,8,330959.0,0,0,2,7,15,0.37587750916716905
30,0,3,32.368090452261306,0,0,7.8958,1,3,1,-1.0,8,349216.0,0,0,3,8,6,0.3789559599553131
31,0,1,40.0,0,0,27.7208,1,0,1,-1.0,8,17601.0,2,0,6,9,9,0.36930577340629606
32,1,1,35.898148148148145,1,0,146.5208,0,0,1,78.0,1,17569.0,2,0,4,7,33,0.4929488793820303
33,1,3,21.773972602739725,0,0,7.75,0,2,1,-1.0,8,335677.0,0,0,2,5,12,0.36721663062041743
34,0,2,66.0,0,0,10.5,1,3,1,-1.0,8,24579.0,2,1,3,7,9,0.36930577340629606
35,0,1,28.0,1,0,82.1708,1,0,1,-1.0,8,17604.0,2,0,3,5,13,0.49857890855324105
36,0,1,42.0,1,0,52.0,1,3,1,-1.0,8,113789.0,0,0,3,9,16,0.5012020410978787
37,1,3,32.368090452261306,0,0,7.2292,1,0,1,-1.0,8,2677.0,0,0,3,5,6,0.36930577340629606
38,0,3,21.0,0,0,8.05,1,3,1,-1.0,8,2152.0,1,2,3,4,15,0.37587750916716905
39,0,3,18.0,2,0,18.0,0,3,1,-1.0,8,345764.0,0,0,2,13,14,0.309320806634981
40,1,3,14.0,1,0,11.2417,0,0,1,-1.0,8,2651.0,0,0,2,13,7,0.4929488793820303
41,0,3,40.0,1,0,9.475,0,3,1,-1.0,8,7546.0,0,0,4,5,35,0.36721663062041743
42,0,2,27.0,1,0,21.0,0,3,1,-1.0,8,11668.0,0,0,4,6,44,0.309320806634981
43,0,3,32.368090452261306,0,0,7.8958,1,0,1,-1.0,8,349253.0,0,0,3,6,8,0.36930577340629606
44,1,2,3.0,1,2,41.5792,0,0,1,-1.0,8,2123.0,7,1,2,7,26,0.30549463007036365
45,1,3,19.0,0,0,7.8792,0,2,1,-1.0,8,330958.0,0,0,2,7,15,0.36721663062041743
46,0,3,32.368090452261306,0,0,8.05,1,3,1,-1.0,8,23567.0,3,2,3,6,13,0.3789559599553131
47,0,3,32.368090452261306,1,0,15.5,1,2,1,-1.0,8,370371.0,0,0,3,6,6,0.36930577340629606
48,1,3,21.773972602739725,0,0,7.75,0,2,1,-1.0,8,14311.0,0,0,2,10,8,0.36930577340629606
49,0,3,32.368090452261306,2,0,21.6792,1,0,1,-1.0,8,2662.0,0,0,3,6,8,0.36930577340629606
50,0,3,18.0,1,0,17.8,0,3,1,-1.0,8,349237.0,0,0,4,14,25,0.3021089571697742
51,0,3,7.0,4,1,39.6875,1,3,1,-1.0,8,3101295.0,0,0,1,6,11,0.2049971713317057
52,0,3,21.0,0,0,7.8,1,3,1,-1.0,8,39886.0,1,2,3,9,14,0.37587750916716905
53,1,1,49.0,1,0,76.7292,0,0,1,33.0,3,17572.0,2,0,4,6,28,0.49683929375546076
54,1,2,29.0,1,0,26.0,0,3,1,-1.0,8,2926.0,0,0,4,10,34,0.36930577340629606
55,0,1,65.0,0,1,61.9792,1,0,1,30.0,1,113509.0,0,0,3,5,20,0.37383777391428363
56,1,1,32.368090452261306,0,0,35.5,1,3,1,52.0,2,19947.0,0,0,3,7,5,0.36721663062041743
57,1,2,21.0,0,0,10.5,0,3,1,-1.0,8,31026.0,2,1,2,4,6,0.37587750916716905
58,0,3,28.5,0,0,7.2292,1,0,1,-1.0,8,2697.0,0,0,3,5,9,0.36930577340629606
59,1,2,5.0,1,2,27.75,0,3,1,-1.0,8,34651.0,2,1,2,4,17,0.4160216934971364
60,0,3,11.0,5,2,46.9,1,3,1,-1.0,8,2144.0,2,0,1,7,18,0.23130075681752885
61,0,3,22.0,0,0,7.2292,1,0,1,-1.0,8,2669.0,0,0,3,10,6,0.3789559599553131
62,1,1,38.0,0,0,80.0,0,1,1,28.0,1,113572.0,0,0,2,5,7,0.49857890855324105
63,0,1,45.0,1,0,83.475,1,3,1,83.0,2,36973.0,0,0,3,6,16,0.36930577340629606
64,0,3,4.0,3,2,27.9,1,3,1,-1.0,8,347088.0,0,0,1,5,7,0.2644628047079984
65,0,1,32.368090452261306,0,0,27.7208,1,0,1,-1.0,8,17605.0,2,0,3,7,9,0.37587750916716905
66,1,3,4.574166666666667,1,1,15.2458,1,0,1,-1.0,8,2661.0,0,0,1,8,7,0.49857890855324105
67,1,2,29.0,0,0,10.5,0,3,1,33.0,5,29395.0,2,1,4,3,19,0.37383777391428363
68,0,3,19.0,0,0,8.1583,1,3,1,-1.0,8,3464.0,2,1,3,6,13,0.3789559599553131
69,1,3,17.0,4,2,7.925,0,3,1,-1.0,8,3101281.0,0,0,2,9,15,0.37383777391428363
70,0,3,26.0,2,0,8.6625,1,3,1,-1.0,8,315151.0,0,0,3,4,8,0.36721663062041743
71,0,2,32.0,0,0,10.5,1,3,1,-1.0,8,33111.0,2,1,3,6,15,0.37587750916716905
72,0,3,16.0,5,2,46.9,0,3,1,-1.0,8,2144.0,2,0,2,7,12,0.20412756747793578
73,0,2,21.0,0,0,73.5,1,3,1,-1.0,8,14879.0,3,1,3,4,11,0.2069109220317047
74,0,3,26.0,1,0,14.4542,1,0,1,-1.0,8,2680.0,0,0,3,12,10,0.36930577340629606
75,1,3,32.0,0,0,56.4958,1,3,1,-1.0,8,1601.0,0,0,3,4,4,0.6358509198133169
76,0,3,25.0,0,0,7.65,1,3,2,-1.0,5,348123.0,0,0,3,4,14,0.37587750916716905
77,0,3,32.368090452261306,0,0,7.8958,1,3,1,-1.0,8,349208.0,0,0,3,7,5,0.3789559599553131
78,0,3,32.368090452261306,0,0,8.05,1,3,1,-1.0,8,374746.0,0,0,3,6,13,0.37383777391428363
79,1,2,0.83,0,2,29.0,1,3,1,-1.0,8,248738.0,0,0,1,8,12,0.49857890855324105
80,1,3,30.0,0,0,12.475,0,3,1,-1.0,8,364516.0,0,0,2,7,10,0.5012020410978787
81,0,3,22.0,0,0,9.0,1,3,1,-1.0,8,345767.0,0,0,3,7,8,0.37383777391428363
82,1,3,29.0,0,0,9.5,1,3,1,-1.0,8,345779.0,0,0,3,10,12,0.37383777391428363
83,1,3,21.773972602739725,0,0,7.7875,0,2,1,-1.0,8,330932.0,0,0,2,9,14,0.37383777391428363
84,0,1,28.0,0,0,47.1,1,3,1,-1.0,8,113059.0,0,0,3,6,12,0.3789559599553131
85,1,2,17.0,0,0,10.5,0,3,1,-1.0,8,14885.0,3,1,2,5,7,0.36721663062041743
86,1,3,33.0,3,0,15.85,0,3,1,-1.0,8,3101278.0,0,0,4,9,40,0.3070194881433478
87,0,3,16.0,1,3,34.375,1,3,1,-1.0,8,6608.0,2,2,3,4,13,0.23130075681752885
88,0,3,32.368090452261306,0,0,8.05,1,3,1,-1.0,8,392086.0,7,1,3,9,15,0.36930577340629606
89,1,1,23.0,3,2,263.0,0,3,3,23.0,2,19950.0,0,0,2,7,12,0.40996556532570155
90,0,3,24.0,0,0,8.05,1,3,1,-1.0,8,343275.0,0,0,3,7,10,0.3789559599553131
91,0,3,29.0,0,0,8.05,1,3,1,-1.0,8,343276.0,0,0,3,10,5,0.37383777391428363
92,0,3,20.0,0,0,7.8542,1,3,1,-1.0,8,347466.0,0,0,3,10,11,0.3789559599553131
93,0,1,46.0,1,0,61.175,1,3,1,31.0,4,5734.0,3,1,3,7,15,0.37383777391428363
94,0,3,26.0,1,2,20.575,1,3,1,-1.0,8,2315.0,2,1,3,4,14,0.5012020410978787
95,0,3,59.0,0,0,7.25,1,3,1,-1.0,8,364500.0,0,0,3,5,7,0.37587750916716905
96,0,3,32.368090452261306,0,0,8.05,1,3,1,-1.0,8,374910.0,0,0,3,7,15,0.36721663062041743
97,0,1,71.0,0,0,34.6542,1,0,1,5.0,0,17754.0,2,0,3,11,9,0.37383777391428363
98,1,1,23.0,0,1,63.3583,1,0,2,10.0,3,17759.0,2,0,3,10,16,0.37587750916716905
99,1,2,34.0,0,1,23.0,0,3,1,-1.0,8,231919.0,0,0,4,6,24,0.49857890855324105
100,0,2,34.0,1,0,26.0,1,3,1,-1.0,8,244367.0,0,0,3,6,6,0.5012020410978787
101,0,3,28.0,0,0,7.8958,0,3,1,-1.0,8,349245.0,0,0,2,8,8,0.37587750916716905
102,0,3,32.368090452261306,0,0,7.8958,1,3,1,-1.0,8,349215.0,0,0,3,7,20,0.37587750916716905
103,0,1,21.0,0,1,77.2875,1,3,1,26.0,3,35281.0,0,0,3,5,15,0.36721663062041743
104,0,3,33.0,0,0,8.6542,1,3,1,-1.0,8,7540.0,0,0,3,9,12,0.37587750916716905
105,0,3,37.0,2,0,7.925,1,3,1,-1.0,8,3101276.0,0,0,3,10,15,0.37383777391428363
106,0,3,28.0,0,0,7.8958,1,3,1,-1.0,8,349207.0,0,0,3,7,9,0.36721663062041743
107,1,3,21.0,0,0,7.65,0,3,1,-1.0,8,343120.0,0,0,2,11,14,0.3789559599553131
108,1,3,32.368090452261306,0,0,7.775,1,3,1,-1.0,8,312991.0,0,0,3,4,13,0.37383777391428363
109,0,3,38.0,0,0,7.8958,1,3,1,-1.0,8,349249.0,0,0,3,5,5,0.3789559599553131
110,1,3,21.773972602739725,1,0,24.15,0,2,1,-1.0,8,371110.0,0,0,2,5,7,0.3070194881433478
111,0,1,47.0,0,0,52.0,1,3,1,110.0,2,110465.0,0,0,3,6,19,0.30549463007036365
112,0,3,14.5,1,0,14.4542,0,0,1,-1.0,8,2665.0,0,0,2,6,7,0.30549463007036365
113,0,3,22.0,0,0,8.05,1,3,1,-1.0,8,324669.0,0,0,3,6,11,0.37383777391428363
114,0,3,20.0,1,0,9.825,0,3,1,-1.0,8,4136.0,0,0,2,7,9,0.36721663062041743
115,0,3,17.0,0,0,14.4583,0,0,1,-1.0,8,2627.0,0,0,2,7,7,0.309320806634981
116,0,3,21.0,0,0,7.925,1,3,1,-1.0,8,3101294.0,5,2,3,9,7,0.37383777391428363
117,0,3,70.5,0,0,7.75,1,2,1,-1.0,8,370369.0,0,0,3,7,8,0.37587750916716905
118,0,2,29.0,1,0,21.0,1,3,1,-1.0,8,11668.0,0,0,3,6,20,0.30549463007036365
119,0,1,24.0,0,1,247.5208,1,0,2,58.0,1,17558.0,2,0,3,6,13,0.49857890855324105
120,0,3,2.0,4,2,31.275,0,3,1,-1.0,8,347082.0,0,0,2,9,17,0.20907603294048324
121,0,2,21.0,2,0,73.5,1,3,1,-1.0,8,14879.0,3,1,3,7,15,0.20907603294048324
122,0,3,32.368090452261306,0,0,8.05,1,3,1,-1.0,8,54510.0,1,1,3,5,16,0.36930577340629606
123,0,2,32.5,1,0,30.0708,1,0,1,-1.0,8,237736.0,0,0,3,6,9,0.49683929375546076
124,1,2,32.5,0,0,13.0,0,3,1,101.0,4,27267.0,0,0,2,6,6,0.37587750916716905
125,0,1,54.0,0,1,77.2875,1,3,1,26.0,3,35281.0,0,0,3,5,17,0.36721663062041743
126,1,3,12.0,1,0,11.2417,1,0,1,-1.0,8,2651.0,0,0,1,13,6,0.49683929375546076
127,0,3,32.368090452261306,0,0,7.75,1,2,1,-1.0,8,370372.0,0,0,3,7,7,0.37587750916716905
128,1,3,24.0,0,0,7.1417,1,3,1,-1.0,8,17369.0,1,0,3,6,14,0.36721663062041743
129,1,3,21.773972602739725,1,1,22.3583,0,0,2,-1.0,5,2668.0,0,0,2,5,5,0.49683929375546076
130,0,3,45.0,0,0,6.975,1,3,1,-1.0,8,347061.0,0,0,3,7,6,0.36721663062041743
131,0,3,33.0,0,0,7.8958,1,0,1,-1.0,8,349241.0,0,0,3,9,6,0.36721663062041743
132,0,3,20.0,0,0,7.05,1,3,1,-1.0,8,3101307.0,7,2,3,6,19,0.3789559599553131
133,0,3,47.0,1,0,14.5,0,3,1,-1.0,8,3337.0,1,2,4,6,34,0.3789559599553131
134,1,2,29.0,1,0,26.0,0,3,1,-1.0,8,228414.0,0,0,4,5,34,0.37383777391428363
135,0,2,25.0,0,0,13.0,1,3,1,-1.0,8,29178.0,2,1,3,5,20,0.36721663062041743
136,0,2,23.0,0,0,15.0458,1,0,1,-1.0,8,2133.0,7,1,3,7,6,0.3789559599553131
137,1,1,19.0,0,2,26.2833,0,3,1,47.0,3,11752.0,0,0,2,6,15,0.3789559599553131
138,0,1,37.0,1,0,53.1,1,3,1,123.0,2,113803.0,0,0,3,8,14,0.37587750916716905
139,0,3,16.0,0,0,9.2167,1,3,1,-1.0,8,7534.0,0,0,3,4,10,0.30549463007036365
140,0,1,24.0,0,0,79.2,1,0,1,86.0,1,17593.0,2,0,3,6,7,0.30054283719503305
141,0,3,35.898148148148145,0,2,15.2458,0,0,1,-1.0,8,2678.0,0,0,4,6,17,0.30549463007036365
142,1,3,22.0,0,0,7.75,0,3,1,-1.0,8,347081.0,0,0,2,6,11,0.36930577340629606
143,1,3,24.0,1,0,15.85,0,3,1,-1.0,8,3101279.0,5,2,4,11,35,0.3070194881433478
144,0,3,19.0,0,0,6.75,1,2,1,-1.0,8,365222.0,0,0,3,5,9,0.37383777391428363
145,0,2,18.0,0,0,11.5,1,3,1,-1.0,8,231945.0,0,0,3,6,15,0.37383777391428363
146,0,2,19.0,1,1,36.75,1,3,1,-1.0,8,33112.0,2,1,3,8,15,0.49857890855324105
147,1,3,27.0,0,0,7.7958,1,3,1,-1.0,8,350043.0,0,0,3,9,30,0.37383777391428363
148,0,3,9.0,2,2,34.375,0,3,1,-1.0,8,6608.0,2,2,2,4,21,0.2644628047079984
149,0,2,36.5,0,2,26.0,1,3,1,2.0,5,230080.0,0,0,3,8,27,0.58022809814714
150,0,2,42.0,0,0,13.0,1,3,1,-1.0,8,244310.0,0,0,5,5,22,0.3789559599553131
151,0,2,51.0,0,0,12.525,1,3,1,-1.0,8,1166.0,3,1,5,7,13,0.36721663062041743
152,1,1,22.0,1,0,66.6,0,3,1,2.0,2,113776.0,0,0,4,5,22,0.3021089571697742
153,0,3,55.5,0,0,8.05,1,3,1,-1.0,8,11206.0,1,1,3,3,8,0.37383777391428363
154,0,3,40.5,0,2,14.5,1,3,1,-1.0,8,851.0,1,2,3,12,14,0.3789559599553131
155,0,3,32.368090452261306,0,0,7.3125,1,3,1,-1.0,8,265302.0,2,0,3,5,11,0.37587750916716905
156,0,1,51.0,0,1,61.3792,1,0,1,-1.0,8,17597.0,2,0,3,8,14,0.37383777391428363
157,1,3,16.0,0,0,7.7333,0,2,1,-1.0,8,35851.0,0,0,2,7,18,0.36721663062041743
158,0,3,30.0,0,0,8.05,1,3,1,-1.0,8,392090.0,7,1,3,4,6,0.37587750916716905
159,0,3,32.368090452261306,0,0,8.6625,1,3,1,-1.0,8,315037.0,0,0,3,9,5,0.3789559599553131
160,0,3,4.574166666666667,8,2,69.55,1,3,1,-1.0,8,2343.0,2,1,1,4,13,0.20412756747793578
161,0,3,44.0,0,1,16.1,1,3,1,-1.0,8,371362.0,0,0,3,5,14,0.37383777391428363
162,1,2,40.0,0,0,15.75,0,3,1,-1.0,8,33595.0,2,1,4,4,40,0.3789559599553131
163,0,3,26.0,0,0,7.775,1,3,1,-1.0,8,347068.0,0,0,3,9,12,0.36930577340629606
164,0,3,17.0,0,0,8.6625,1,3,1,-1.0,8,315093.0,0,0,3,5,5,0.36721663062041743
165,0,3,1.0,4,1,39.6875,1,3,1,-1.0,8,3101295.0,0,0,1,6,13,0.20907603294048324
166,1,3,9.0,0,2,20.525,1,3,1,-1.0,8,363291.0,0,0,1,9,29,0.5012020410978787
167,1,1,35.898148148148145,0,1,55.0,0,3,1,33.0,4,113505.0,0,0,4,8,24,0.36930577340629606
168,0,3,45.0,1,4,27.9,0,3,1,-1.0,8,347088.0,0,0,4,5,36,0.2644628047079984
169,0,1,32.368090452261306,0,0,25.925,1,3,1,-1.0,8,17318.0,2,0,3,7,7,0.3789559599553131
170,0,3,28.0,0,0,56.4958,1,3,1,-1.0,8,1601.0,0,0,3,4,4,0.6358509198133169
171,0,1,61.0,0,0,33.5,1,3,1,19.0,1,111240.0,0,0,3,12,8,0.36721663062041743
172,0,3,4.0,4,1,29.125,1,2,1,-1.0,8,382652.0,0,0,1,4,7,0.2049971713317057
173,1,3,1.0,1,1,11.1333,0,3,1,-1.0,8,347742.0,0,0,2,7,14,0.5755804511341363
174,0,3,21.0,0,0,7.925,1,3,1,-1.0,8,3101280.0,5,2,3,6,14,0.36930577340629606
175,0,1,56.0,0,0,30.6958,1,0,1,7.0,0,17764.0,0,0,3,5,13,0.37383777391428363
176,0,3,18.0,1,1,7.8542,1,3,1,-1.0,8,350404.0,0,0,3,6,11,0.36930577340629606
177,0,3,4.574166666666667,3,1,25.4667,1,3,1,-1.0,8,4133.0,0,0,1,7,13,0.23281451711366768
178,0,1,50.0,0,0,28.7125,0,0,1,49.0,2,17595.0,2,0,2,5,14,0.37587750916716905
179,0,2,30.0,0,0,13.0,1,3,1,-1.0,8,250653.0,0,0,3,4,9,0.36930577340629606
180,0,3,36.0,0,0,0.0,1,3,1,-1.0,8,0.0,4,0,3,7,7,0.35840626440758516
181,0,3,21.773972602739725,8,2,69.55,0,3,1,-1.0,8,2343.0,2,1,2,4,17,0.20412756747793578
182,0,2,32.368090452261306,0,0,15.05,1,0,1,-1.0,8,2131.0,7,1,3,6,5,0.36721663062041743
183,0,3,9.0,4,2,31.3875,1,3,1,-1.0,8,347077.0,0,0,1,7,21,0.577052401483113
184,1,2,1.0,2,1,39.0,1,3,1,4.0,5,230136.0,0,0,1,6,10,0.49857890855324105
185,1,3,4.0,0,2,22.025,0,3,1,-1.0,8,315153.0,0,0,2,13,15,0.37383777391428363
186,0,1,32.368090452261306,0,0,50.0,1,3,1,32.0,0,113767.0,0,0,3,4,12,0.36930577340629606
187,1,3,35.898148148148145,1,0,15.5,0,2,1,-1.0,8,370365.0,0,0,4,7,34,0.30549463007036365
188,1,1,45.0,0,0,26.55,1,3,1,-1.0,8,111428.0,0,0,3,7,33,0.37587750916716905
189,0,3,40.0,1,1,15.5,1,2,1,-1.0,8,364849.0,0,0,3,6,5,0.3789559599553131
190,0,3,36.0,0,0,7.8958,1,3,1,-1.0,8,349247.0,0,0,3,6,8,0.36721663062041743
191,1,2,32.0,0,0,13.0,0,3,1,-1.0,8,234604.0,0,0,4,6,7,0.37383777391428363
192,0,2,19.0,0,0,13.0,1,3,1,-1.0,8,28424.0,0,0,3,8,8,0.37587750916716905
193,1,3,19.0,1,0,7.8542,0,3,1,-1.0,8,350046.0,0,0,2,15,25,0.36721663062041743
194,1,2,3.0,1,1,26.0,1,3,1,2.0,5,230080.0,0,0,1,8,9,0.30054283719503305
195,1,1,44.0,0,0,27.7208,0,0,1,4.0,1,17610.0,2,0,4,5,30,0.36930577340629606
196,1,1,58.0,0,0,146.5208,0,0,1,80.0,1,17569.0,2,0,2,7,6,0.49683929375546076
197,0,3,32.368090452261306,0,0,7.75,1,2,1,-1.0,8,368703.0,0,0,3,7,7,0.3789559599553131
198,0,3,42.0,0,1,8.4042,1,3,1,-1.0,8,4579.0,0,0,3,5,22,0.37587750916716905
199,1,3,21.773972602739725,0,0,7.75,0,2,1,-1.0,8,370370.0,0,0,2,7,18,0.36721663062041743
200,0,2,24.0,0,0,13.0,0,3,1,-1.0,8,248747.0,0,0,2,5,26,0.37587750916716905
201,0,3,28.0,0,0,9.5,1,3,1,-1.0,8,345770.0,0,0,3,11,14,0.37587750916716905
202,0,3,32.368090452261306,8,2,69.55,1,3,1,-1.0,8,2343.0,2,1,3,4,10,0.1869395075131617
203,0,3,34.0,0,0,6.4958,1,3,1,-1.0,8,3101264.0,0,0,3,8,13,0.36930577340629606
204,0,3,45.5,0,0,7.225,1,0,1,-1.0,8,2628.0,0,0,3,7,8,0.36721663062041743
205,1,3,18.0,0,0,8.05,1,3,1,-1.0,8,3540.0,1,1,3,5,14,0.36930577340629606
206,0,3,2.0,0,1,10.4625,0,3,1,6.0,6,347054.0,0,0,2,5,14,0.3070194881433478
207,0,3,32.0,1,0,15.85,1,3,1,-1.0,8,3101278.0,0,0,3,9,12,0.49683929375546076
208,1,3,26.0,0,0,18.7875,1,0,1,-1.0,8,2699.0,0,0,3,8,14,0.30054283719503305
209,1,3,16.0,0,0,7.75,0,2,1,-1.0,8,367231.0,0,0,2,4,14,0.37587750916716905
210,1,1,40.0,0,0,31.0,1,0,1,31.0,0,112277.0,0,0,3,5,6,0.36721663062041743
211,0,3,24.0,0,0,7.05,1,3,1,-1.0,8,3101311.0,7,2,3,3,6,0.36721663062041743
212,1,2,35.0,0,0,21.0,0,3,1,-1.0,8,13528.0,3,1,2,7,12,0.3789559599553131
213,0,3,22.0,0,0,7.25,1,3,1,-1.0,8,21174.0,1,1,3,6,11,0.37383777391428363
214,0,2,30.0,0,0,13.0,1,3,1,-1.0,8,250646.0,0,0,3,6,16,0.36721663062041743
215,0,3,32.368090452261306,1,0,7.75,1,2,1,-1.0,8,367229.0,0,0,3,7,7,0.3789559599553131
216,1,1,31.0,1,0,113.275,0,0,1,36.0,3,35273.0,0,0,2,6,10,0.4145991641939591
217,1,3,27.0,0,0,7.925,0,3,1,-1.0,8,3101283.0,5,2,2,8,7,0.37383777391428363
218,0,2,42.0,1,0,27.0,1,3,1,-1.0,8,243847.0,0,0,3,9,14,0.5012020410978787
219,1,1,32.0,0,0,76.2917,0,0,1,15.0,3,11813.0,0,0,2,7,7,0.36721663062041743
220,0,2,30.0,0,0,10.5,1,3,1,-1.0,8,14208.0,2,1,3,6,7,0.36930577340629606
221,1,3,16.0,0,0,8.05,1,3,1,-1.0,8,392089.0,7,1,3,10,15,0.36721663062041743
